POS,Player,Runs,Mat,Inns,NO,HS,Avg,BF,SR,100,50,4s,6s
120,Liam Livingstone,15,2,2,0,14,7.5,25,60.0,0,0,0,1
121,Auqib Nabi,14,4,2,1,10,14.0,4,350.0,0,0,2,1
122,Shardul Thakur,14,8,2,0,8,7.0,19,73.68,0,0,1,0
123,Harsh Dubey,13,8,5,3,9,6.5,9,144.44,0,0,2,0
124,Kyle Jamieson,12,2,1,0,12,12.0,13,92.3,0,0,1,1
125,Kartik Tyagi,11,13,2,0,6,5.5,9,122.22,0,0,1,1
126,Tejasvi Singh,11,1,1,0,11,11.0,12,91.66,0,0,2,0
127,Noor Ahmad,11,14,4,1,8,3.67,23,47.82,0,0,0,1
128,Harshal Patel,10,5,3,0,6,3.33,9,111.11,0,0,2,0
129,Krish Bhagat,10,3,2,1,7,10.0,21,47.61,0,0,0,0
130,Kuldeep Yadav,9,11,4,1,4,3.0,21,42.85,0,0,0,0
131,Trent Boult,8,5,2,1,7,8.0,4,200.0,0,0,0,1
132,Mohd Arshad Khan,8,7,1,1,8,0.0,5,160.0,0,0,1,0
133,Jasprit Bumrah,7,13,2,1,5,7.0,7,100.0,0,0,1,0
134,Lhuan-dre Pretorius,7,2,2,0,7,3.5,8,87.5,0,0,0,0
135,Matt Henry,7,3,2,0,5,3.5,10,70.0,0,0,1,0
136,Robin Minz,6,2,2,1,5,6.0,4,150.0,0,0,1,0
137,David Payne,6,2,1,1,6,0.0,5,120.0,0,0,0,0
138,Avesh Khan,6,7,4,3,4,6.0,6,100.0,0,0,1,0
139,Akeal Hosein,5,7,3,3,3,0.0,3,166.66,0,0,0,0
140,Harpreet Brar,5,2,1,1,5,0.0,3,166.66,0,0,1,0
141,Arjun Tendulkar,5,1,1,1,5,0.0,5,100.0,0,0,0,0
142,Mayank Yadav,5,4,1,0,5,5.0,5,100.0,0,0,1,0
143,Ravi Singh,4,1,1,0,4,4.0,2,200.0,0,0,1,0
144,Jaydev Unadkat,4,4,1,1,4,0.0,3,133.33,0,0,0,0
145,Lungisani Ngidi,4,11,3,1,3,2.0,7,57.14,0,0,0,0
146,Rasikh Dar,3,10,2,2,3,0.0,2,150.0,0,0,0,0
147,Nandre Burger,3,10,1,1,3,0.0,5,60.0,0,0,0,0
148,Praful Hinge,3,6,2,1,3,3.0,9,33.33,0,0,0,0
149,Mukesh Choudhary,2,8,1,1,2,0.0,2,100.0,0,0,0,0
150,Adam Milne,2,1,1,1,2,0.0,2,100.0,0,0,0,0
151,Vyshak Vijaykumar,2,10,2,2,1,0.0,4,50.0,0,0,0,0
152,Brijesh Sharma,2,10,2,2,1,0.0,4,50.0,0,0,0,0
153,Danish Malewar,2,2,2,0,2,1.0,5,40.0,0,0,0,0
154,Digvesh Singh,2,10,2,2,2,0.0,5,40.0,0,0,0,0
155,Eshan Malinga,2,14,2,2,2,0.0,9,22.22,0,0,0,0
156,Arshdeep Singh,1,14,1,1,1,0.0,1,100.0,0,0,0,0
157,T Natarajan,1,10,1,1,1,0.0,2,50.0,0,0,0,0
158,Vaibhav Arora,1,11,2,2,1,0.0,3,33.33,0,0,0,0
159,Ashok Sharma,1,6,2,2,1,0.0,4,25.0,0,0,0,0
160,Ashwani Kumar,1,3,1,1,1,0.0,6,16.66,0,0,0,0
